BG13816	BA_2712
BG12915	BA_0424
BG11939	BA_0107
BG12280	BA_2511
BG11155	BA_4249
BG11305	BA_1204
BG13808	BA_4628
BG11080	BA_1592
BG12511	BA_2692
BG12283	BA_1382
BG13722	BA_1369
BG11979	BA_0375
BG10403	BA_5433
BG13124	BA_1180
BG13019	BA_3324
BG12479	BA_4743
BG10310	BA_4397
BG10311	BA_4396
BG10312	BA_3063
BG10313	BA_4516
BG10314	BA_4515
BG10315	BA_4514
BG12576	BA_0923
BG11881	BA_3589
BG13287	BA_2393
BG13285	BA_4258
BG13284	BA_4257
BG13328	BA_2353
BG13329	BA_1306
BG13281	BA_4254
BG13280	BA_4253
BG13325	BA_0410
BG13326	BA_4861
BG13327	BA_4433
BG13321	BA_1363
BG13289	BA_4205
BG13445	BA_1814
BG13446	BA_1815
BG13441	BA_3150
BG13440	BA_4963
BG13443	BA_0711
BG13442	BA_0710
BG12503	BA_2765
BG12507	BA_1609
BG12506	BA_5486
BG12505	BA_5487
BG12504	BA_2634
BG11763	BA_1766
BG11825	BA_3666
BG10494	BA_3906
BG10493	BA_1581
BG10719	BA_4022
BG12347	BA_0576
BG12229	BA_2308
BG12226	BA_0536
BG12227	BA_0537
BG12224	BA_0528
BG12225	BA_0529
BG12222	BA_0526
BG12223	BA_0527
BG10712	BA_4030
BG10713	BA_4028
BG10655	BA_1706
BG10657	BA_2920
BG10656	BA_2921
BG10650	BA_0163
BG10232	BA_4045
BG13226	BA_1471
BG10291	BA_1254
BG10659	BA_1045
BG10658	BA_2919
BG10293	BA_2954
BG12390	BA_5159
BG12921	BA_0420
BG11822	BA_3681
BG14040	BA_5198
BG10236	BA_4042
BG13218	BA_2698
BG11914	BA_0830
BG12593	BA_4270
BG11885	BA_3898
BG13748	BA_0594
BG13749	BA_3850
BG13210	BA_3267
BG12275	BA_0160
BG13198	BA_5176
BG10755	BA_0117
BG13104	BA_5030
BG13105	BA_1442
BG11878	BA_0351
BG13269	BA_3483
BG13101	BA_3886
BG13265	BA_0808
BG13267	BA_0810
BG13266	BA_5593
BG11877	BA_5081
BG11875	BA_5464
BG11973	BA_4651
BG11972	BA_4818
BG11971	BA_4817
BG11970	BA_0143
BG13488	BA_0604
BG10401	BA_1669
BG10402	BA_5152
BG11978	BA_5524
BG10404	BA_5506
BG10162	BA_0096
BG11058	BA_0748
BG11059	BA_1138
BG12710	BA_3184
BG11053	BA_5582
BG11054	BA_5710
BG11055	BA_3932
BG11056	BA_0108
BG10979	BA_3628
BG12657	BA_3116
BG12656	BA_4831
BG11117	BA_2513
BG11119	BA_2512
BG11118	BA_2517
BG12659	BA_3957
BG10973	BA_4938
BG10974	BA_4932
BG10976	BA_1858
BG11454	BA_1583
BG11455	BA_1584
BG11457	BA_1586
BG10909	BA_5121
BG10908	BA_5122
BG11453	BA_1582
BG10905	BA_0835
BG10907	BA_5123
BG10906	BA_2022
BG11458	BA_1587
BG11459	BA_4418
BG11314	BA_2287
BG12488	BA_2508
BG14029	BA_1939
BG12700	BA_0032
BG12482	BA_5200
BG12480	BA_5302
BG13811	BA_4604
BG13926	BA_4846
BG13431	BA_3919
BG13925	BA_4992
BG13922	BA_4848
BG13923	BA_4905
BG13920	BA_5085
BG12438	BA_4227
BG12437	BA_4228
BG12436	BA_4229
BG13533	BA_3703
BG12434	BA_1314
BG14128	BA_5389
BG13537	BA_3640
BG13929	BA_2006
BG11696	BA_1287
BG11697	BA_1288
BG12004	BA_3124
BG11029	BA_1124
BG12707	BA_3182
BG12000	BA_2033
BG11758	BA_4329
BG11757	BA_5025
BG11756	BA_4320
BG11755	BA_1728
BG11754	BA_3058
BG11020	BA_2370
BG11023	BA_5427
BG11598	BA_1304
BG12132	BA_5086
BG10622	BA_0309
BG12131	BA_1759
BG10624	BA_2998
BG12667	BA_3978
BG11622	BA_2249
BG11621	BA_2245
BG11620	BA_2241
BG11627	BA_1846
BG11626	BA_4303
BG14027	BA_0662
BG13849	BA_2101
BG13848	BA_4892
BG12665	BA_4637
BG14024	BA_5249
BG10228	BA_4048
BG14025	BA_5253
BG11597	BA_5069
BG13847	BA_5107
BG11596	BA_4322
BG10219	BA_4057
BG10218	BA_4151
BG10215	BA_4154
BG10214	BA_4155
BG10217	BA_4152
BG10216	BA_4153
BG10210	BA_4181
BG10213	BA_4156
BG10212	BA_4172
BG11039	BA_3839
BG10916	BA_5520
BG10521	BA_4334
BG12171	BA_3144
BG10643	BA_0149
BG10960	BA_3520
BG10376	BA_4929
BG10375	BA_2958
BG10372	BA_4908
BG10373	BA_4931
BG10370	BA_4915
BG10371	BA_4911
BG11761	BA_4318
BG12602	BA_1428
BG11766	BA_4313
BG11691	BA_4485
BG14106	BA_3859
BG11435	BA_1511
BG12151	BA_3062
BG10079	BA_0015
BG14001	BA_0569
BG14003	BA_2705
BG14004	BA_2715
BG10175	BA_2585
BG10176	BA_2375
BG14007	BA_5213
BG10071	BA_0006
BG14009	BA_5215
BG10073	BA_0008
BG10075	BA_0010
BG10074	BA_0009
BG10077	BA_0012
BG10076	BA_0011
BG13430	BA_3920
BG13127	BA_1184
BG13188	BA_2797
BG13538	BA_4750
BG13184	BA_1961
BG13185	BA_3540
BG13181	BA_3375
BG13182	BA_4910
BG13433	BA_3918
BG13674	BA_4017
BG13773	BA_2749
BG13772	BA_4390
BG13771	BA_4456
BG11590	BA_4469
BG12348	BA_0577
BG10741	BA_5421
BG13774	BA_4356
BG13940	BA_4958
BG13173	BA_3385
BG11843	BA_3991
BG11842	BA_3872
BG13278	BA_4251
BG11840	BA_5017
BG11964	BA_4717
BG13751	BA_2305
BG13275	BA_1333
BG13272	BA_3482
BG13273	BA_2841
BG11849	BA_2443
BG13271	BA_1884
BG12459	BA_5623
BG11491	BA_3944
BG13752	BA_2302
BG10114	BA_0049
BG11990	BA_0141
BG10502	BA_5396
BG10505	BA_4073
BG10504	BA_3768
BG10468	BA_4873
BG11999	BA_3369
BG10508	BA_4286
BG10464	BA_1041
BG13947	BA_0557
BG10462	BA_1970
BG10463	BA_0165
BG10460	BA_5654
BG10461	BA_1969
BG13078	BA_3581
BG13079	BA_3283
BG11902	BA_3131
BG13070	BA_0707
BG13072	BA_1139
BG13073	BA_3564
BG13074	BA_0744
BG13075	BA_3279
BG13076	BA_3280
BG13077	BA_3281
BG13049	BA_5201
BG13008	BA_0759
BG13005	BA_2264
BG13004	BA_4813
BG13007	BA_2276
BG13006	BA_5661
BG13000	BA_0870
BG13002	BA_3078
BG10268	BA_3950
BG10269	BA_3949
BG11493	BA_1564
BG10260	BA_1712
BG12002	BA_4216
BG10262	BA_1714
BG10263	BA_3955
BG10264	BA_3954
BG10265	BA_3953
BG10266	BA_3952
BG10267	BA_3951
BG12428	BA_0834
BG13912	BA_4299
BG13528	BA_2216
BG13529	BA_3574
BG12587	BA_3962
BG11759	BA_4328
BG12584	BA_2013
BG13522	BA_2818
BG13523	BA_5660
BG12589	BA_3848
BG13918	BA_4263
BG12425	BA_3129
BG12032	BA_1313
BG12037	BA_5330
BG12036	BA_5327
BG12035	BA_5328
BG12034	BA_5329
BG11740	BA_4364
BG11037	BA_1960
BG11742	BA_2038
BG11743	BA_2996
BG11744	BA_4359
BG11027	BA_4310
BG11746	BA_4357
BG11747	BA_1784
BG11635	BA_4563
BG11636	BA_4562
BG11637	BA_4560
BG11739	BA_3433
BG11738	BA_0164
BG11632	BA_0600
BG10151	BA_0083
BG11734	BA_4368
BG11737	BA_4366
BG11638	BA_4558
BG11730	BA_4373
BG11732	BA_1910
BG13858	BA_5461
BG11698	BA_4451
BG13852	BA_3191
BG13850	BA_4960
BG13851	BA_3189
BG13856	BA_4959
BG13857	BA_5460
BG13854	BA_3190
BG13855	BA_4890
BG13359	BA_4142
BG13358	BA_4143
BG13293	BA_4203
BG13294	BA_4200
BG13295	BA_4198
BG13296	BA_4196
BG13297	BA_4195
BG13351	BA_4159
BG13350	BA_0499
BG13353	BA_4148
BG13352	BA_4158
BG13355	BA_4147
BG13354	BA_0720
BG13357	BA_4145
BG13356	BA_4146
BG12514	BA_2198
BG13457	BA_2551
BG13454	BA_2048
BG12517	BA_3543
BG13980	BA_1479
BG12458	BA_5624
BG13450	BA_4109
BG13451	BA_3674
BG12454	BA_0967
BG12457	BA_5625
BG12456	BA_5626
BG12518	BA_5408
BG12101	BA_4126
BG12452	BA_1119
BG10480	BA_4553
BG12353	BA_0578
BG12219	BA_1795
BG10483	BA_4466
BG10484	BA_4465
BG10485	BA_4464
BG10486	BA_4463
BG12355	BA_5534
BG10761	BA_0123
BG12212	BA_2121
BG12358	BA_5142
BG12359	BA_5137
BG12217	BA_1793
BG12291	BA_4600
BG10767	BA_5409
BG10766	BA_5528
BG10646	BA_3560
BG10647	BA_0268
BG10644	BA_0148
BG10645	BA_0661
BG11948	BA_1420
BG10150	BA_0082
BG13388	BA_4007
BG10648	BA_0161
BG13466	BA_3752
BG11209	BA_1553
BG11208	BA_1559
BG11562	BA_0653
BG12139	BA_2085
BG12448	BA_1316
BG11567	BA_0823
BG11569	BA_0821
BG11202	BA_4210
BG11205	BA_5511
BG12628	BA_4830
BG11207	BA_1555
BG11206	BA_1560
BG11366	BA_1526
BG12569	BA_2297
BG10241	BA_1679
BG10189	BA_5153
BG10188	BA_1027
BG12447	BA_1315
BG10185	BA_1024
BG10184	BA_1636
BG10187	BA_1026
BG10186	BA_1025
BG11365	BA_0104
BG10182	BA_0767
BG10863	BA_2778
BG10861	BA_2009
BG10866	BA_4663
BG10867	BA_4662
BG10865	BA_4664
BG12814	BA_3420
BG10868	BA_4661
BG11338	BA_3387
BG12443	BA_5600
BG12929	BA_0842
BG12990	BA_1011
BG11992	BA_0142
BG12991	BA_1008
BG11191	BA_5510
BG12920	BA_2263
BG12923	BA_3342
BG12922	BA_0419
BG12925	BA_0408
BG11089	BA_0910
BG12927	BA_0406
BG12926	BA_0407
BG12726	BA_2307
BG12725	BA_2306
BG12993	BA_4745
BG12723	BA_3067
BG12722	BA_3068
BG12644	BA_4844
BG11088	BA_0909
BG12895	BA_1652
BG12641	BA_3705
BG12642	BA_0502
BG11102	BA_0843
BG11514	BA_0146
BG11517	BA_1049
BG10986	BA_0329
BG11511	BA_4447
BG10980	BA_2133
BG10983	BA_1892
BG11105	BA_3884
BG11108	BA_3487
BG11127	BA_5088
BG11519	BA_1562
BG11518	BA_1050
BG11421	BA_4593
BG11420	BA_2937
BG11423	BA_4436
BG11422	BA_4435
BG11424	BA_4058
BG11588	BA_0314
BG11589	BA_5664
BG11586	BA_1376
BG10917	BA_1719
BG11584	BA_1373
BG11585	BA_1374
BG10912	BA_4688
BG10910	BA_5120
BG10911	BA_5119
BG10772	BA_1192
BG11994	BA_2485
BG10059	BA_5733
BG12199	BA_0258
BG10058	BA_5732
BG12318	BA_4806
BG11052	BA_5431
BG10512	BA_4283
BG11980	BA_3508
BG10458	BA_2201
BG10515	BA_3977
BG12208	BA_0264
BG11988	BA_4324
BG10450	BA_5669
BG10457	BA_4457
BG10455	BA_1818
BG12160	BA_4640
BG13084	BA_3113
BG13385	BA_4011
BG13081	BA_2882
BG10774	BA_1194
BG13082	BA_2881
BG11402	BA_3904
BG10775	BA_1195
BG13088	BA_2360
BG11789	BA_0342
BG11067	BA_0139
BG14130	BA_0705
BG11538	BA_3986
BG12896	BA_2700
BG13018	BA_3323
BG12894	BA_0955
BG13016	BA_2086
BG13010	BA_1952
BG13011	BA_2769
BG10295	BA_4297
BG12774	BA_2004
BG10297	BA_4295
BG10296	BA_4296
BG11821	BA_3753
BG10290	BA_1253
BG11823	BA_3667
BG10292	BA_1539
BG12891	BA_0522
BG10299	BA_3138
BG10298	BA_4294
BG12890	BA_0521
BG14064	BA_5332
BG11515	BA_1565
BG12893	BA_5704
BG10208	BA_4183
BG10209	BA_4182
BG10206	BA_4211
BG10207	BA_4184
BG10205	BA_4225
BG10519	BA_4332
BG14022	BA_5246
BG10200	BA_4268
BG11781	BA_1593
BG14138	BA_1453
BG14139	BA_2988
BG11938	BA_3846
BG10143	BA_0075
BG12583	BA_4849
BG10145	BA_0077
BG14023	BA_5248
BG12677	BA_2490
BG14034	BA_0618
BG13927	BA_2530
BG10146	BA_0078
BG12582	BA_3609
BG13348	BA_4161
BG13349	BA_4160
BG13360	BA_4140
BG13343	BA_4167
BG12529	BA_3064
BG13346	BA_4163
BG13347	BA_2746
BG13344	BA_4166
BG13345	BA_4165
BG12293	BA_3630
BG12119	BA_3760
BG12563	BA_4616
BG12290	BA_4601
BG12296	BA_3625
BG12295	BA_3629
BG12294	BA_3631
BG12446	BA_5597
BG12568	BA_4638
BG12444	BA_5599
BG12445	BA_5598
BG13585	BA_0757
BG13586	BA_1224
BG12441	BA_0994
BG12204	BA_4975
BG12205	BA_0263
BG10778	BA_4643
BG11079	BA_1591
BG12200	BA_0259
BG12201	BA_0260
BG12202	BA_0261
BG12203	BA_0262
BG12616	BA_4218
BG12164	BA_0387
BG12167	BA_2250
BG12166	BA_5379
BG12161	BA_4571
BG12209	BA_0265
BG12163	BA_5564
BG12162	BA_3704
BG10673	BA_1854
BG10672	BA_1419
BG10671	BA_1418
BG10670	BA_1417
BG10677	BA_5437
BG10676	BA_4991
BG10675	BA_1421
BG10674	BA_2001
BG10678	BA_3754
BG10768	BA_4314
BG13362	BA_4138
BG11325	BA_1544
BG14026	BA_5241
BG10992	BA_4029
BG13644	BA_0429
BG10397	BA_5425
BG14148	BA_1742
BG13764	BA_1628
BG11772	BA_0776
BG10234	BA_4044
BG12369	BA_5128
BG12368	BA_5129
BG12366	BA_5130
BG11510	BA_4448
BG13768	BA_4521
BG12362	BA_5133
BG12361	BA_5134
BG13882	BA_2358
BG11850	BA_2444
BG11851	BA_4589
BG13249	BA_3364
BG13161	BA_1242
BG11856	BA_4036
BG13243	BA_5494
BG10583	BA_0703
BG11915	BA_1722
BG13246	BA_5495
BG13245	BA_0798
BG13244	BA_5497
BG10201	BA_4267
BG11513	BA_1568
BG13889	BA_4952
BG13364	BA_4136
BG12638	BA_2280
BG12733	BA_2367
BG11139	BA_2696
BG12988	BA_1020
BG12631	BA_4273
BG12630	BA_4274
BG12985	BA_1044
BG12632	BA_4900
BG11133	BA_2314
BG12982	BA_1392
BG12637	BA_2279
BG12980	BA_2947
BG10994	BA_0432
BG11505	BA_3516
BG11502	BA_1567
BG11503	BA_0145
BG11500	BA_1550
BG10991	BA_4191
BG12601	BA_1425
BG10856	BA_4838
BG10855	BA_4839
BG13365	BA_4135
BG10998	BA_3803
BG11509	BA_4449
BG12292	BA_4598
BG11614	BA_2173
BG11430	BA_1506
BG11431	BA_1507
BG11436	BA_1515
BG13933	BA_4840
BG11434	BA_1510
BG11610	BA_1627
BG12363	BA_5132
BG10921	BA_1671
BG11439	BA_2748
BG10096	BA_0029
BG12360	BA_5136
BG12510	BA_5434
BG13517	BA_5613
BG10589	BA_1647
BG13513	BA_2656
BG13512	BA_5162
BG13511	BA_5245
BG11918	BA_3142
BG13540	BA_2309
BG12026	BA_2217
BG12027	BA_0614
BG12020	BA_3232
BG13160	BA_1241
BG12022	BA_3271
BG13518	BA_3000
BG12745	BA_1881
BG12744	BA_0191
BG11009	BA_0631
BG11008	BA_3970
BG12741	BA_0415
BG13429	BA_3921
BG12743	BA_2271
BG11003	BA_1517
BG11001	BA_2747
BG13428	BA_3922
BG11007	BA_3971
BG11005	BA_1519
BG11004	BA_1518
BG11641	BA_4555
BG11640	BA_4556
BG11643	BA_4547
BG11642	BA_4548
BG11645	BA_4536
BG13164	BA_4369
BG11728	BA_4375
BG11729	BA_4374
BG11726	BA_4378
BG11727	BA_4376
BG11724	BA_4386
BG11725	BA_4385
BG11722	BA_4388
BG11723	BA_4387
BG11720	BA_2350
BG11721	BA_4389
BG13866	BA_5047
BG13865	BA_5048
BG12129	BA_3708
BG13908	BA_5001
BG13862	BA_5574
BG13861	BA_2229
BG13860	BA_2228
BG13904	BA_4944
BG13905	BA_4943
BG13907	BA_4940
BG12590	BA_5416
BG13901	BA_5008
BG12592	BA_4827
BG13903	BA_4945
BG12851	BA_0568
BG12850	BA_0567
BG10107	BA_0041
BG10106	BA_0040
BG14071	BA_5428
BG14070	BA_0494
BG14072	BA_0369
BG10585	BA_0701
BG12863	BA_2987
BG10109	BA_0043
BG10108	BA_0042
BG10584	BA_0702
BG11917	BA_4653
BG10586	BA_0700
BG11171	BA_3128
BG12588	BA_3847
BG14179	BA_3670
BG10053	BA_5728
BG12551	BA_3350
BG11134	BA_0654
BG14175	BA_0519
BG10763	BA_3930
BG13829	BA_0507
BG11218	BA_0110
BG11219	BA_0111
BG11212	BA_1557
BG11213	BA_1558
BG11210	BA_1554
BG11211	BA_1556
BG10368	BA_4917
BG11217	BA_0113
BG11214	BA_3098
BG13417	BA_3907
BG14180	BA_4490
BG14183	BA_4564
BG11350	BA_5441
BG14185	BA_4010
BG11356	BA_4814
BG10198	BA_4269
BG11354	BA_4327
BG10197	BA_4351
BG10194	BA_4352
BG12557	BA_4845
BG10192	BA_4354
BG10193	BA_4353
BG10190	BA_2380
BG10191	BA_4355
BG11678	BA_4497
BG10740	BA_5422
BG14038	BA_5205
BG10762	BA_0124
BG13551	BA_0354
BG11616	BA_2230
BG11188	BA_4524
BG12412	BA_5295
BG12932	BA_3633
BG13557	BA_3614
BG12930	BA_4346
BG12931	BA_3380
BG11186	BA_0856
BG11187	BA_0855
BG12770	BA_0402
BG11185	BA_0857
BG10691	BA_5282
BG10693	BA_3314
BG11615	BA_2174
BG10695	BA_2081
BG10694	BA_1998
BG10697	BA_4574
BG10696	BA_3265
BG11613	BA_2171
BG13710	BA_0948
BG13932	BA_4981
BG12581	BA_1483
BG13898	BA_4947
BG12370	BA_1551
BG13897	BA_4858
BG12372	BA_0371
BG10638	BA_5633
BG12374	BA_2190
BG13559	BA_3524
BG13890	BA_4950
BG13891	BA_0693
BG13254	BA_2214
BG10598	BA_5663
BG13399	BA_3993
BG13398	BA_4360
BG13252	BA_2212
BG13253	BA_2213
BG13395	BA_3995
BG13394	BA_3997
BG10590	BA_2016
BG10591	BA_4584
BG10596	BA_0753
BG13390	BA_4001
BG13393	BA_3998
BG10595	BA_0754
BG10781	BA_3939
BG10557	BA_0800
BG11677	BA_4498
BG10444	BA_0129
BG10445	BA_0130
BG10446	BA_0131
BG12984	BA_1046
BG10440	BA_4545
BG10441	BA_4544
BG10442	BA_0127
BG10443	BA_0128
BG19017	BA_0418
BG13094	BA_1148
BG13095	BA_1149
BG13092	BA_1146
BG13628	BA_4130
BG13159	BA_1240
BG13489	BA_3002
BG13157	BA_1239
BG12150	BA_2672
BG13154	BA_1235
BG13153	BA_1233
BG13152	BA_1232
BG13098	BA_1152
BG13099	BA_1155
BG11146	BA_0561
BG13028	BA_5319
BG13470	BA_2525
BG13023	BA_3423
BG13021	BA_0213
BG13027	BA_5320
BG14013	BA_5219
BG11836	BA_3990
BG10287	BA_1248
BG10284	BA_1537
BG11835	BA_4035
BG10282	BA_1536
BG10283	BA_1665
BG10280	BA_1534
BG10281	BA_1535
BG10527	BA_1490
BG10526	BA_1488
BG10525	BA_4276
BG10524	BA_4278
BG10523	BA_4280
BG10522	BA_4281
BG10288	BA_1250
BG10289	BA_1252
BG12059	BA_0223
BG10116	BA_0050
BG13503	BA_2536
BG12194	BA_3458
BG10990	BA_2817
BG13506	BA_1924
BG10117	BA_0051
BG12198	BA_3134
BG10606	BA_5645
BG11501	BA_1566
BG12055	BA_2219
BG12054	BA_4937
BG12057	BA_5455
BG12159	BA_1641
BG11016	BA_2507
BG12841	BA_5685
BG11010	BA_0632
BG12753	BA_3155
BG12699	BA_3767
BG12698	BA_3288
BG11407	BA_1505
BG10112	BA_0047
BG11405	BA_1372
BG12694	BA_1615
BG11403	BA_3905
BG11150	BA_2991
BG12758	BA_4569
BG11152	BA_2221
BG11653	BA_4532
BG11719	BA_4391
BG11656	BA_4527
BG10110	BA_0044
BG11654	BA_4530
BG10078	BA_0014
BG11713	BA_4403
BG11712	BA_4404
BG11711	BA_4405
BG11710	BA_4406
BG11692	BA_4468
BG11715	BA_4400
BG11714	BA_4402
BG13870	BA_4874
BG13871	BA_4860
BG13872	BA_1831
BG13873	BA_5036
BG13875	BA_5037
BG13876	BA_5038
BG13878	BA_4955
BG13970	BA_5155
BG13972	BA_5150
BG13975	BA_5206
BG13974	BA_3863
BG13977	BA_5208
BG13976	BA_5207
BG13805	BA_4636
BG13804	BA_4639
BG13807	BA_4630
BG13806	BA_1903
BG12288	BA_0208
BG12289	BA_0210
BG13371	BA_0493
BG14088	BA_1915
BG13809	BA_4626
BG12281	BA_4768
BG13472	BA_1876
BG13378	BA_1441
BG12572	BA_4632
BG14008	BA_5214
BG12570	BA_4880
BG12571	BA_4879
BG13571	BA_2930
BG12577	BA_0924
BG12574	BA_5417
BG12575	BA_3960
BG12473	BA_5530
BG10680	BA_1203
BG12471	BA_1875
BG12579	BA_4150
BG13579	BA_3530
BG12017	BA_2417
BG14137	BA_5061
BG10746	BA_5141
BG10745	BA_4223
BG10744	BA_5138
BG10668	BA_3711
BG10742	BA_5420
BG12178	BA_0181
BG12276	BA_1837
BG10664	BA_4539
BG10665	BA_4538
BG10666	BA_3713
BG10667	BA_3712
BG10662	BA_4541
BG10748	BA_5372
BG13389	BA_4002
BG13310	BA_1352
BG11227	BA_3095
BG13396	BA_3994
BG11225	BA_2900
BG11348	BA_5448
BG11349	BA_5447
BG11221	BA_0112
BG11220	BA_0099
BG11344	BA_3362
BG11346	BA_0790
BG11347	BA_5449
BG11340	BA_2003
BG11341	BA_5611
BG11342	BA_2138
BG11343	BA_2132
BG14192	BA_0538
BG14193	BA_3096
BG14194	BA_1013
BG14195	BA_1229
BG13361	BA_4139
BG13391	BA_4000
BG19025	BA_3964
BG11685	BA_4487
BG19020	BA_0986
BG19023	BA_4705
BG12244	BA_2872
BG10570	BA_2439
BG12245	BA_1174
BG12597	BA_1429
BG12902	BA_0616
BG12901	BA_0615
BG12900	BA_1486
BG12817	BA_3317
BG12909	BA_2822
BG11083	BA_2127
BG11082	BA_2126
BG11081	BA_2125
BG11321	BA_5587
BG11087	BA_0908
BG11086	BA_4734
BG11085	BA_4733
BG11084	BA_2128
BG12622	BA_4973
BG12623	BA_4974
BG12620	BA_3622
BG12621	BA_5013
BG12994	BA_0894
BG12624	BA_3624
BG12997	BA_5286
BG11533	BA_5256
BG11532	BA_1853
BG11531	BA_5115
BG11530	BA_2119
BG11537	BA_3987
BG11536	BA_3988
BG11535	BA_3989
BG11534	BA_5655
BG12239	BA_1156
BG11539	BA_3985
BG10843	BA_0185
BG10844	BA_0186
BG11922	BA_2510
BG10846	BA_0189
BG10847	BA_2509
BG10937	BA_5570
BG10839	BA_4219
BG10838	BA_4220
BG10932	BA_0154
BG10933	BA_0643
BG10837	BA_3865
BG10836	BA_3866
BG10831	BA_3982
BG10939	BA_5568
BG12187	BA_1111
BG11138	BA_3079
BG11686	BA_1436
BG10343	BA_4695
BG10342	BA_4696
BG10341	BA_4697
BG10340	BA_4698
BG10347	BA_4691
BG10346	BA_4692
BG10345	BA_4693
BG10344	BA_4694
BG10349	BA_4757
BG10348	BA_4758
BG12069	BA_4869
BG14036	BA_2869
BG12230	BA_1774
BG13063	BA_3687
BG14120	BA_0743
BG10568	BA_3731
BG12182	BA_2638
BG10938	BA_5569
BG13510	BA_5244
BG10068	BA_0004
BG10062	BA_5736
BG10063	BA_5737
BG10060	BA_5734
BG10061	BA_5735
BG10066	BA_0002
BG10067	BA_0003
BG10064	BA_5738
BG10065	BA_0001
BG14066	BA_5335
BG14067	BA_5336
BG12840	BA_0322
BG14065	BA_5334
BG14062	BA_3354
BG10113	BA_0048
BG14060	BA_3352
BG10111	BA_0046
BG11845	BA_5127
BG10118	BA_0052
BG10119	BA_0053
BG12189	BA_5260
BG11968	BA_2522
BG11655	BA_4528
BG11019	BA_2368
BG11841	BA_5019
BG13279	BA_4252
BG13060	BA_0784
BG14108	BA_3861
BG12839	BA_0321
BG11699	BA_4450
BG13178	BA_4379
BG14101	BA_1040
BG14103	BA_0758
BG14102	BA_3838
BG14105	BA_0595
BG14104	BA_0544
BG14107	BA_3860
BG10714	BA_4027
